Sample,Dist_px,Dist_um,MeanIntensity,StdIntensity
1,0,0,23461.1893554687,166.466976829174
2,1,1.74,23451.0947265625,174.914362539079
3,2.00000000000001,3.48000000000001,23528.5368164062,203.176494850824
4,3,5.22,23569.9263671875,252.535776450632
5,4,6.96,23513.3580078125,308.727996741249
6,5,8.7,23500.5578125,274.584758179427
7,6,10.44,23547.6418945313,175.886020727957
8,7,12.18,23433.9682617188,93.4558306206456
9,8,13.92,23077.02109375,137.047080258811
10,9,15.66,22999.0845703125,161.461213402116
11,10,17.4,22838.8946289063,111.85669397006
12,11,19.14,22846.2315429688,170.553757940317
13,12,20.88,22892.9791992187,195.65087371113
14,13,22.62,22962.7580078125,153.42095492716
15,14,24.36,23115.558203125,154.264743006462
16,15,26.1,23327.6419921875,213.091352215726
17,16,27.84,23503.2947265625,293.22729528892
18,17,29.58,23724.9264648437,399.838253344644
19,18,31.32,23893.2317382813,373.97953499267
20,19,33.06,24130.2946289062,399.594310713343
21,20,34.8,24252.653125,314.850875087729
22,21,36.54,24290.2211914062,365.667745998545
23,22,38.28,24471.4946289062,275.93253047834
24,23,40.02,24507.4423828125,214.080597576948
25,24,41.76,24638.2421875,152.522454597446
26,25,43.5,24673.020703125,168.970712331171
