Dist_um,Line_01,Line_02,Line_03,Line_04,Line_05,Line_06,Line_07,Line_08,Line_09,Line_10,Line_11,Line_12,Line_13,Line_14,Line_15,Line_16,Line_17,Line_18,Line_19,Line_20,Mean,Std
0,23098,23152.2109375,23209.89453125,23298.841796875,23384.52734375,23457.158203125,23535.31640625,23626.369140625,23680.15625,23678.052734375,23619.10546875,23503.31640625,23455.736328125,23453.630859375,23433.47265625,23405.578125,23493.052734375,23609.3671875,23585,23545,23461.1893554687,166.466976829174
1.74,23055,23138.158203125,23221.73828125,23309.10546875,23392.052734375,23457.31640625,23530,23620,23661.578125,23630.525390625,23613.68359375,23611.052734375,23608.10546875,23604.947265625,23514.10546875,23385.68359375,23351.578125,23341.052734375,23435.2109375,23541,23451.0947265625,174.914362539079
3.48000000000001,23131,23184.68359375,23234.947265625,23254.421875,23289.68359375,23388.10546875,23492.052734375,23608.89453125,23660.263671875,23613.421875,23635.52734375,23726.578125,23712.7890625,23629.10546875,23593.31640625,23578.05078125,23648.68359375,23740.7890625,23733.421875,23715,23528.5368164062,203.176494850824
5.22,23066,23126.52734375,23187.7890625,23255.68359375,23330.736328125,23434.421875,23529.89453125,23606.2109375,23641.68359375,23615.89453125,23643.26171875,23723.7890625,23739.263671875,23711.369140625,23730.630859375,23770.10546875,23755.263671875,23726.841796875,23838.16015625,23965,23569.9263671875,252.535776450632
6.96,23027,23105.94921875,23173.6328125,23139.94921875,23134.68359375,23243.10546875,23330.2109375,23367.578125,23440.10546875,23565.369140625,23605.89453125,23561.68359375,23615.052734375,23733.47265625,23768.26171875,23767.2109375,23849.10546875,23951.736328125,23950.158203125,23937,23513.3580078125,308.727996741249
8.7,23247,23193.841796875,23144.052734375,23124.578125,23125.630859375,23208.7890625,23291.947265625,23375.10546875,23476.578125,23605.52734375,23648.421875,23605.26171875,23571.89453125,23545.05078125,23629.10546875,23760.685546875,23888.89453125,24016.263671875,23866.52734375,23686,23500.5578125,274.584758179427
10.44,23270,23339.47265625,23398.421875,23362.6328125,23329.578125,23307.47265625,23357.841796875,23577.31640625,23713.2109375,23723.736328125,23726.630859375,23721.89453125,23714,23704,23696.2109375,23689.3671875,23682.947265625,23676.630859375,23550.47265625,23411,23547.6418945313,175.886020727957
12.18,23293,23372.47265625,23440.10546875,23401.158203125,23362.52734375,23325.158203125,23347.7890625,23510.421875,23601.052734375,23583.68359375,23575.52734375,23576.578125,23514.47265625,23410.26171875,23388.2109375,23401.3671875,23413.68359375,23425.7890625,23389.10546875,23347,23433.9682617188,93.4558306206456
13.92,23034,23140.841796875,23237.47265625,23242.2109375,23241.578125,23219.47265625,23202.89453125,23199.2109375,23186.68359375,23160.89453125,23099.578125,23002.73828125,22980.421875,23007.7890625,23034.052734375,23059.84375,22964.7890625,22839.52734375,22837.421875,22849,23077.02109375,137.047080258811
15.66,22846,22927.052734375,23015.94921875,23175.421875,23301.2109375,23292.263671875,23245.421875,23110.158203125,23042.052734375,23074.68359375,23029.9453125,22907.84375,22879.84375,22914.580078125,22949.68359375,22984.947265625,22921.68359375,22833.791015625,22786.158203125,22743,22999.0845703125,161.461213402116
17.4,22787,22809.10546875,22839.31640625,22942.47265625,23025.9453125,23030.68359375,23006.841796875,22916.31640625,22879.89453125,22924.6328125,22908.31640625,22830.947265625,22780.421875,22747.7890625,22762.68359375,22797.947265625,22741,22661,22678.578125,22707,22838.8946289063,111.85669397006
19.14,23000,23013.158203125,23025.580078125,23031.369140625,23040.841796875,23065.052734375,23055.791015625,22968.421875,22876.841796875,22778.9453125,22748.15625,22784.47265625,22802.158203125,22807.419921875,22754.10546875,22675.68359375,22686.10546875,22718.736328125,22608.791015625,22483,22846.2315429688,170.553757940317
20.88,23190,23202.6328125,23201.841796875,23080.26171875,22996.89453125,23066.369140625,23079,22959,22902.7890625,22942.263671875,22887.791015625,22739.3671875,22706.84375,22751.580078125,22709.736328125,22630.7890625,22649.10546875,22691.73828125,22721.580078125,22750,22892.9791992187,195.65087371113
22.62,23205,23155.52734375,23112.896484375,23131.841796875,23123.525390625,23006.158203125,22933,22963,23011.52734375,23087.84375,23067.84375,22951.525390625,22913.841796875,22928.578125,22881.7890625,22808.630859375,22796.947265625,22800.630859375,22728.052734375,22647,22962.7580078125,153.42095492716
24.36,23537,23305.421875,23090.685546875,23027.52734375,22985.314453125,23026.89453125,23066.736328125,23102.52734375,23143.578125,23192.52734375,23223.84375,23237.52734375,23203.2109375,23136.89453125,23122.525390625,23130.421875,23075.158203125,23004.10546875,22902.263671875,22797,23115.558203125,154.264743006462
26.1,23525,23474.47265625,23434.578125,23490.3671875,23545.314453125,23596.89453125,23601.89453125,23498.2109375,23450.947265625,23488.31640625,23401.47265625,23190.421875,23118.947265625,23140.52734375,23183.10546875,23234.685546875,23181,23101,22999.68359375,22896,23327.6419921875,213.091352215726
27.84,23742,23800.421875,23858.474609375,23913.2109375,23945.841796875,23890.052734375,23783.263671875,23557.47265625,23460.736328125,23557.578125,23495.736328125,23275.2109375,23134.578125,23047.2109375,23164.68359375,23369.947265625,23312.47265625,23189.31640625,23245.685546875,23322,23503.2947265625,293.22729528892
29.58,24324,24224.52734375,24140.421875,24194.6328125,24222.630859375,24145.7890625,24064.525390625,23972.947265625,23842,23652,23550.158203125,23536.47265625,23463.10546875,23349.94921875,23272.52734375,23210.421875,23215.26171875,23236.841796875,23368.31640625,23512,23724.9264648437,399.838253344644
31.32,24298,24343.26171875,24377.94921875,24317.421875,24278.3671875,24325.2109375,24299.421875,24104.158203125,23958.369140625,23886.7890625,23847.314453125,23839.94921875,23705.31640625,23485.841796875,23456.83984375,23509.474609375,23446.31640625,23354.2109375,23454.421875,23576,23893.2317382813,373.97953499267
33.06,24634,24678.2109375,24711.578125,24647.3671875,24575.052734375,24470.31640625,24382.7890625,24335.421875,24244.89453125,24089.6328125,23974.10546875,23898.31640625,23917.89453125,24001.052734375,23877.525390625,23665.419921875,23614.158203125,23603.103515625,23628.052734375,23657,24130.2946289062,399.594310713343
34.8,24587,24629.10546875,24668.6328125,24684.947265625,24682,24602,24519.6328125,24431.73828125,24312.89453125,24147.6328125,24100.263671875,24170.7890625,24088.158203125,23903.421875,23866.421875,23892.736328125,23922.84375,23953.89453125,23948.94921875,23940,24252.653125,314.850875087729
36.54,24700,24736.31640625,24761.73828125,24689.10546875,24629,24619,24602.68359375,24571.6328125,24515.947265625,24423.31640625,24288.578125,24111.73828125,24000.578125,23933.2109375,23931.419921875,23957.736328125,23897.31640625,23815.2109375,23808.89453125,23811,24290.2211914062,365.667745998545
38.28,24859,24774.263671875,24701.736328125,24739.10546875,24755,24685,24646.578125,24681.841796875,24673.314453125,24599.10546875,24510.158203125,24406.474609375,24340.05078125,24298.474609375,24248.419921875,24194.736328125,24165.47265625,24142.31640625,24052.84375,23956,24471.4946289062,275.93253047834
40.02,24818,24724.84375,24644.369140625,24678.052734375,24712.578125,24750.47265625,24757.10546875,24690.7890625,24600.26171875,24473.421875,24445.263671875,24515.791015625,24492.52734375,24406.73828125,24316.89453125,24225.31640625,24253.31640625,24311.2109375,24219.89453125,24112,24507.4423828125,214.080597576948
41.76,24859,24838.47265625,24811.107421875,24722.158203125,24657.947265625,24692.68359375,24731.369140625,24779.26171875,24766.734375,24663.580078125,24620.947265625,24638.841796875,24610.31640625,24550.84375,24573.525390625,24631.421875,24545.31640625,24423.2109375,24355.10546875,24293,24638.2421875,152.522454597446
43.5,24819,24841.10546875,24863.263671875,24885.89453125,24880.525390625,24763.15625,24694.421875,24739.158203125,24737.15625,24665.052734375,24639.525390625,24660.578125,24680.3671875,24699.31640625,24663.3671875,24603.89453125,24545.68359375,24487.7890625,24362.158203125,24229,24673.020703125,168.970712331171
